ID,Age,Gender,Income,Married,Product
94,25,Male,46500,No,C
95,25,Female,68500,Yes,B
96,30,Female,61500,Yes,B
97,35,Female,106000,Yes,A
98,41,Female,75500,No,B
99,48,Male,80000,No,D
100,32,Male,51000,No,C
101,39,Female,62500,No,B
102,29,Female,52000,No,B
103,45,Male,82000,No,C
104,51,Female,95000,No,B
105,32,Female,81000,Yes,A
106,27,Female,75500,Yes,B
107,34,Female,81000,Yes,A
108,45,Male,68500,No,C
109,51,Female,94500,No,A
110,35,Male,67000,Yes,D
111,44,Female,65000,Yes,A
112,38,Male,50500,No,D
113,44,Female,82500,Yes,B
114,43,Male,85000,No,C
115,48,Female,91500,Yes,A
116,36,Female,59000,No,B
117,44,Female,58000,No,A
118,56,Female,64000,Yes,B
119,56,Male,84500,No,C
120,40,Female,66500,Yes,B
121,28,Male,60500,Yes,C
122,55,Female,67500,Yes,B
123,32,Female,53000,Yes,B
124,41,Male,69000,Yes,D
125,31,Male,70000,No,C
126,43,Female,83000,No,A
127,35,Male,69500,No,D
128,46,Male,86500,Yes,D
129,45,Female,70500,No,B
130,44,Female,81000,Yes,B
131,35,Female,93500,Yes,A
132,32,Female,86500,Yes,A
133,36,Male,72500,Yes,D
134,48,Male,93000,No,C
135,45,Female,55000,Yes,B
136,36,Male,73500,Yes,C
137,41,Male,85500,No,C
138,32,Female,49500,No,A
139,36,Female,70000,Yes,B
140,32,Female,73500,Yes,A
141,48,Male,81000,Yes,D
142,34,Male,88500,No,C
143,22,Male,75500,Yes,D
144,28,Female,52000,Yes,B
145,47,Female,66000,No,A
146,50,Female,87000,No,A
147,40,Male,65500,Yes,D
148,31,Female,92500,Yes,A
149,20,Female,75000,No,B
150,46,Male,68000,No,D
151,35,Male,86000,No,C
152,48,Male,87000,No,D
153,23,Male,83500,Yes,D
154,28,Male,73000,Yes,C
155,43,Female,80500,No,B
156,51,Female,76500,No,B
157,39,Male,74000,No,D
158,39,Male,75500,No,C
159,49,Female,75500,No,B
160,25,Male,66000,No,C
161,54,Female,76000,Yes,B
162,49,Male,76500,Yes,D
163,39,Female,69500,No,B
164,34,Female,75500,Yes,A
165,37,Female,95500,Yes,A
166,30,Male,56000,No,C
167,48,Male,77500,Yes,D
168,25,Male,72000,No,D
169,53,Female,93000,Yes,A
170,35,Male,80500,No,C
171,47,Female,85000,Yes,B
172,48,Male,76500,No,C
173,51,Male,87000,Yes,D
174,35,Female,88500,No,B
175,20,Female,79500,Yes,B
176,43,Female,82000,No,B
177,52,Male,72000,No,C
178,19,Male,70500,Yes,D
179,57,Male,79000,No,D
180,31,Female,62500,No,B
181,36,Female,64500,No,B
182,28,Female,74000,Yes,B
183,52,Male,86500,No,C
184,29,Female,75000,Yes,B
185,28,Female,60500,No,B
186,28,Male,81000,No,C
187,50,Female,76500,Yes,B
188,37,Female,44500,No,B
189,36,Female,81500,Yes,B
190,56,Female,72500,Yes,B
191,44,Female,83000,No,A
192,54,Male,88500,Yes,C
193,49,Female,90000,Yes,B
194,29,Male,68000,No,C
195,31,Male,83500,No,C
196,39,Male,68000,Yes,C
197,38,Female,58500,No,B
198,38,Female,83500,No,B
199,49,Female,74500,No,B
200,30,Female,50000,No,B
201,46,Male,84000,No,D
202,23,Female,53000,No,A
203,46,Female,79000,No,B
204,34,Female,87000,Yes,B
205,33,Female,75500,Yes,B
206,44,Female,82000,No,B
207,45,Male,82000,No,C
208,32,Female,81000,No,B
209,29,Female,62000,No,B
210,30,Female,68000,No,B
211,38,Female,80000,Yes,B
212,44,Female,69500,No,B
213,39,Female,76000,No,B
214,25,Male,68500,No,C
215,29,Female,81000,No,B
216,21,Female,82500,Yes,B
217,48,Female,72500,Yes,A
218,26,Male,80500,No,C
219,48,Male,83500,No,C
220,48,Female,96000,Yes,A
221,30,Male,45500,No,D
222,48,Female,78000,Yes,B
223,33,Female,70500,Yes,B
224,22,Female,63000,Yes,B
225,48,Female,84500,No,B
226,31,Male,79000,No,C
227,37,Female,79000,No,B
228,34,Female,54000,No,B
229,36,Female,68500,Yes,A
230,33,Male,68500,Yes,D
231,21,Male,66000,Yes,D
232,46,Female,78500,No,B
233,39,Male,65000,No,D
234,30,Male,88000,No,C
235,34,Male,99500,Yes,D
236,25,Female,69000,No,A
237,43,Female,40000,No,B
238,40,Female,64500,No,B
239,45,Female,100500,No,A
240,27,Female,89000,No,B
241,30,Female,57000,No,B
242,51,Female,80000,No,B
243,37,Female,67000,No,A
244,26,Male,69000,No,C
245,24,Male,87000,Yes,D
246,43,Female,77500,No,B
247,38,Female,69500,No,B
248,20,Female,66500,Yes,B
249,24,Female,56500,No,A
250,35,Female,89000,Yes,A
251,43,Female,80500,No,A
252,48,Female,69000,No,B
253,24,Female,87500,Yes,B
254,44,Female,89500,No,B
255,39,Male,80000,No,D
256,29,Male,55500,No,C
257,36,Male,80500,Yes,D
258,46,Female,56500,No,B
259,39,Male,102500,Yes,D
260,49,Female,94500,Yes,A
261,47,Female,74000,Yes,B
262,46,Female,76500,Yes,B
263,40,Male,80000,Yes,D
264,29,Female,67000,No,B
265,25,Female,67000,No,B
266,45,Male,89000,No,C
267,27,Female,96500,Yes,A
268,45,Male,74000,No,D
269,33,Female,82500,No,B
270,26,Female,68000,No,B
271,22,Male,64000,No,D
272,28,Female,74500,Yes,B
273,51,Female,77500,No,B
274,26,Male,74000,No,D
275,45,Female,75500,Yes,B
276,27,Female,80000,Yes,B
277,27,Male,49500,Yes,C
278,30,Male,81000,No,C
279,44,Female,102500,No,A
280,27,Female,74000,Yes,B
281,50,Male,87500,Yes,D
282,51,Female,78000,No,B
283,44,Female,70500,Yes,A
284,38,Female,87500,No,B
285,40,Female,83500,No,B
286,21,Male,73000,No,C
287,35,Male,53000,No,C
288,36,Male,66000,No,C
289,34,Female,97500,Yes,A
290,44,Male,62500,No,C
291,25,Female,36000,No,B
292,45,Female,84500,Yes,B
293,56,Male,100500,Yes,D
294,45,Female,90000,Yes,B
295,33,Male,44500,No,C
296,29,Male,78000,No,C
297,31,Male,91500,Yes,D
298,22,Male,67000,No,C
299,24,Male,74500,No,D
300,40,Female,62000,No,A
301,42,Male,77000,Yes,C
302,29,Male,95500,No,C
303,46,Female,76500,Yes,B
304,45,Female,100000,No,A
305,25,Male,87500,No,C
306,39,Male,85000,Yes,D
307,44,Female,95000,Yes,A
308,33,Male,61500,No,D
309,58,Male,76000,Yes,C
310,33,Male,74500,Yes,D
311,43,Female,83500,No,B
312,24,Female,76000,No,B
313,34,Male,96000,Yes,C
314,41,Male,70000,Yes,D
315,42,Female,80500,Yes,B
316,33,Female,61000,No,B
317,45,Female,64500,No,A
318,26,Male,69500,No,C
319,45,Female,86500,No,B
320,33,Male,70500,No,C
321,37,Male,86000,No,D
322,35,Male,70500,Yes,D
323,39,Female,74500,No,A
324,44,Female,84500,No,B
325,21,Female,67000,Yes,B
326,28,Male,66500,Yes,D
327,26,Female,55000,No,B
328,50,Female,56500,No,B
329,30,Female,71000,No,B
330,22,Male,61500,No,D
331,32,Male,67500,No,C
332,25,Female,70500,Yes,A
333,55,Female,96000,No,A
334,43,Male,73500,No,C
335,38,Female,72500,No,B
336,32,Male,65000,No,C
337,44,Female,52000,Yes,B
338,37,Female,96500,No,B
339,32,Male,66000,No,C
340,33,Female,85000,No,B
341,57,Female,105000,No,A
342,44,Female,71500,No,B
343,29,Female,71000,Yes,A
344,38,Female,83000,Yes,A
345,34,Male,91500,Yes,D
346,43,Female,78000,Yes,A
347,44,Female,57500,Yes,B
348,40,Male,74000,No,C
349,47,Female,85000,No,B
350,34,Male,64000,Yes,C
351,33,Female,74500,No,B
352,34,Female,101500,No,A
353,23,Male,67500,No,C
354,30,Male,58500,No,C
355,40,Female,78000,No,B
356,28,Female,71500,No,B
357,48,Male,79000,No,C
358,36,Male,88500,No,C
359,47,Male,84500,No,C
360,40,Female,69500,Yes,B
361,47,Female,85500,No,B
362,28,Female,64500,No,B
363,42,Female,85500,No,B
364,34,Male,68500,Yes,D
365,41,Female,57000,No,B
366,23,Female,61000,No,B
367,25,Female,59500,No,B
368,42,Female,92000,Yes,A
369,36,Female,64500,Yes,A
370,48,Female,72000,No,B
371,47,Male,88500,Yes,D
372,32,Female,56000,Yes,B
373,44,Female,96500,Yes,A
374,48,Male,110500,Yes,D
375,36,Female,99000,Yes,A
376,34,Female,58000,Yes,B
377,26,Female,67000,No,B
378,22,Male,93000,Yes,D
379,55,Male,114500,Yes,C
380,38,Female,67000,No,B
381,53,Female,53000,No,B
382,35,Male,80000,Yes,D
383,38,Female,89500,No,A
384,37,Male,62500,No,C
385,31,Female,83500,No,B
386,25,Male,69500,Yes,D
387,31,Female,61500,No,A
388,47,Female,84000,No,A
389,45,Female,98500,Yes,A
390,34,Female,60000,No,B
391,43,Male,85000,No,C
392,37,Female,82000,Yes,B
393,44,Male,68500,Yes,C
394,48,Female,85000,Yes,A
395,20,Female,90000,No,B
396,35,Female,72000,No,B
397,35,Female,90000,Yes,A
398,38,Female,58500,No,B
399,50,Female,66500,Yes,B
400,34,Female,64000,No,B
401,46,Male,73000,Yes,C
402,28,Female,70000,No,B
403,42,Male,67500,Yes,D
404,27,Male,87000,No,C
405,52,Female,72000,No,B
406,42,Male,84500,No,D
407,36,Female,80000,No,B
408,45,Male,92000,Yes,C
409,29,Female,81000,Yes,B
410,41,Male,63000,Yes,D
411,36,Female,67000,No,B
412,35,Female,74000,No,B
413,30,Male,76000,Yes,C
414,50,Female,86000,No,B
415,49,Female,75500,No,B
416,43,Female,72500,Yes,A
417,34,Male,67000,Yes,D
418,26,Female,55000,No,A
419,44,Female,86500,Yes,B
420,42,Female,66000,No,A
421,57,Male,88500,Yes,C
422,36,Male,50500,No,C
423,48,Female,95500,Yes,A
424,38,Female,83500,Yes,B
425,43,Female,81500,No,A
426,45,Male,86500,No,C
427,41,Male,67500,No,D
428,50,Male,62500,No,C
429,33,Female,58000,Yes,B
430,45,Female,72000,No,B
431,32,Male,97000,Yes,D
432,41,Male,82000,No,C
433,53,Male,78500,Yes,D
434,35,Female,56500,No,A
435,42,Female,78000,Yes,B
436,31,Male,83000,Yes,D
437,37,Male,86500,No,C
438,46,Male,67500,No,D
439,38,Female,84500,Yes,B
440,23,Female,55000,No,A
441,38,Female,92500,No,A
442,51,Female,87500,No,A
443,41,Male,82000,Yes,D
444,47,Female,73500,No,B
445,42,Female,49500,No,B
446,50,Female,96500,Yes,A
447,47,Female,76000,Yes,B
448,32,Male,66500,No,C
449,33,Male,71500,Yes,C
450,32,Male,60500,No,C
451,24,Female,82500,No,A
452,30,Male,51000,No,D
453,26,Male,69500,No,C
454,42,Female,83000,No,B
455,34,Female,57500,No,B
456,44,Female,75000,Yes,A
457,30,Female,56000,No,B
458,51,Male,61500,No,D
459,36,Male,76500,No,C
460,47,Female,80000,Yes,B
461,36,Female,73000,Yes,B
462,38,Female,84000,No,A
463,37,Male,86000,Yes,C
464,31,Male,80500,No,C
465,42,Female,90000,Yes,A
466,39,Male,71000,No,C
467,53,Female,79000,No,A
468,33,Female,52000,No,B
469,33,Male,80500,No,C
470,37,Female,67500,No,B
471,52,Female,80500,No,B
472,33,Male,72000,Yes,D
473,50,Female,62000,Yes,B
474,39,Male,77000,No,C
475,56,Female,86000,No,B
476,34,Male,43500,Yes,C
477,47,Female,65000,No,B
478,25,Male,87000,No,C
479,47,Female,75000,No,B
480,29,Male,54500,Yes,D
481,39,Male,71500,No,C
482,49,Female,93500,Yes,A
483,37,Female,73000,Yes,B
484,41,Female,82500,No,A
485,46,Female,102500,Yes,A
486,28,Male,87500,No,D
487,40,Female,83000,Yes,B
488,48,Female,84000,No,B
489,39,Male,92500,No,C
490,40,Female,74500,No,A
491,49,Female,71500,No,B
492,46,Female,63000,No,B
493,55,Male,69000,Yes,D
494,35,Male,80500,Yes,C
495,21,Female,64500,No,A
496,37,Male,92500,Yes,D
497,34,Male,76000,No,C
498,36,Female,81500,Yes,B
499,46,Male,74500,Yes,D
500,33,Male,93000,No,D
501,31,Female,69500,No,B
502,46,Male,73000,No,C
503,41,Male,88000,No,C
504,40,Female,81000,Yes,B
505,37,Male,58500,No,D
506,31,Female,60500,Yes,B
507,31,Female,69000,Yes,B
508,27,Female,83500,No,B
509,35,Female,56500,No,A
510,41,Female,84500,Yes,B
511,27,Male,50500,No,C
512,43,Female,79000,No,B
513,47,Male,64000,No,C
514,28,Female,74000,Yes,A
515,25,Male,71000,No,D
516,44,Female,51500,Yes,B
517,56,Male,91500,No,C
518,34,Female,78000,Yes,B
519,44,Male,101000,Yes,C
520,48,Female,84500,No,B
521,36,Female,58500,No,B
522,30,Male,69500,No,C
523,30,Male,64000,No,C
524,50,Male,115500,No,C
525,50,Male,80500,No,C
526,53,Female,79500,Yes,A
527,48,Female,75500,No,B
528,31,Male,88000,No,C
529,47,Male,93000,Yes,D
530,23,Female,71500,No,B
531,49,Female,66500,No,A
532,23,Male,82500,No,C
533,44,Male,60000,No,C
534,20,Male,55000,No,C
535,34,Male,66000,Yes,D
536,29,Male,71500,No,C
537,36,Male,79500,No,C
538,29,Female,81000,No,A
539,42,Male,54000,Yes,C
540,46,Female,63000,Yes,B
541,48,Female,68000,No,A
542,27,Female,71000,No,B
543,22,Female,72000,Yes,A
544,46,Female,84000,Yes,B
545,45,Female,74500,No,B
546,46,Female,65000,No,B
547,25,Male,52500,No,D
548,48,Male,72500,No,C
549,40,Female,63000,No,B
550,46,Male,51000,No,D
551,26,Female,93000,Yes,A
552,43,Female,92000,Yes,A
553,25,Male,66000,No,C
554,33,Female,69000,Yes,B
555,40,Female,62000,No,B
556,30,Male,56500,No,D
557,26,Male,68000,No,D
558,29,Male,76500,No,C
559,41,Female,63500,No,B
560,32,Male,66500,No,C
561,28,Male,58000,Yes,D
562,29,Male,68500,Yes,C
563,41,Female,92000,Yes,A
564,25,Male,54500,Yes,D
565,40,Male,73000,No,D
566,39,Female,86000,No,B
567,25,Male,62500,No,C
568,27,Male,61000,Yes,D
569,45,Male,82500,No,C
570,51,Female,86500,No,A
571,31,Female,88000,Yes,B
572,29,Female,83000,No,B
573,52,Female,84000,Yes,A
574,24,Male,78500,No,D
575,55,Male,91500,No,C
576,46,Female,87000,Yes,B
577,38,Female,62000,No,B
578,55,Male,111500,Yes,D
579,36,Male,77000,Yes,D
580,43,Male,89000,No,C
581,36,Male,76500,No,C
582,53,Male,68000,Yes,C
583,32,Female,68500,No,A
584,41,Female,88000,Yes,A
585,31,Female,75000,No,B
586,37,Male,80000,No,D
587,50,Female,66500,Yes,B
588,52,Male,72000,No,C
589,39,Female,71000,No,B
590,27,Male,78500,No,D
591,46,Female,88500,Yes,A
592,56,Male,101500,Yes,C
593,50,Female,85500,No,B
594,32,Female,67000,Yes,B
595,51,Male,106000,No,C
596,26,Male,100000,No,C
597,46,Male,64000,No,D
598,38,Male,77000,No,D
599,32,Female,77500,No,A
600,49,Female,94000,Yes,A
601,36,Male,74000,Yes,C
602,38,Male,80000,Yes,C
603,49,Female,79000,No,A
604,44,Female,84500,No,B
605,53,Male,50000,Yes,D
606,23,Male,73500,Yes,D
607,25,Female,57000,No,A
608,40,Female,98500,No,A
609,36,Male,54000,No,C
610,35,Female,93000,Yes,A
611,57,Male,55500,No,C
612,39,Male,71000,No,C
613,24,Female,89500,Yes,B
614,44,Female,81000,Yes,A
615,22,Female,73000,No,B
616,46,Male,65500,No,C
617,33,Female,91000,No,A
618,44,Female,83500,No,B
619,32,Female,86500,Yes,A
620,26,Male,77500,No,C
621,39,Male,93000,Yes,C
622,25,Female,57000,Yes,A
623,44,Female,84000,Yes,B
624,38,Male,84000,No,C
625,33,Female,65500,Yes,B
626,30,Female,51000,Yes,A
627,37,Male,61500,Yes,D
628,37,Female,81000,Yes,B
629,28,Female,75000,No,B
630,39,Male,64000,Yes,D
631,24,Male,67000,No,C
632,30,Female,51000,No,B
633,25,Male,69000,No,C
634,41,Female,94000,Yes,A
635,35,Female,56500,No,B
636,21,Female,82000,No,B
637,35,Female,60000,Yes,B
638,43,Male,85000,Yes,D
639,36,Female,59500,No,B
640,22,Female,72500,Yes,B
641,27,Male,63000,No,C
642,39,Male,75000,No,D
643,41,Female,91000,No,A
644,42,Male,97500,No,C
645,47,Male,94500,No,C
646,32,Female,68000,No,B
647,24,Male,74500,Yes,D
648,44,Female,79000,Yes,B
649,31,Male,70000,No,C
650,55,Female,95000,Yes,A
651,44,Male,71500,Yes,D
652,45,Female,76000,No,B
653,39,Male,73000,No,C
654,28,Male,72000,No,D
655,23,Male,64500,No,C
656,32,Female,84000,No,B
657,43,Male,83000,No,C
658,39,Male,90500,No,C
659,40,Female,87500,Yes,B
660,34,Female,71000,Yes,A
661,46,Female,75500,No,B
662,46,Female,69000,No,A
663,28,Female,75000,No,B
664,51,Male,78000,No,C
665,47,Female,94000,Yes,A
666,44,Male,90000,Yes,D
667,55,Female,73000,Yes,B
668,41,Male,79000,No,D
669,31,Female,80500,No,B
670,38,Female,86500,Yes,B
671,29,Male,60000,No,C
672,45,Male,63000,No,C
673,33,Male,74500,Yes,D
674,37,Female,60000,No,A
675,40,Female,66000,No,A
676,51,Male,114000,Yes,D
677,41,Female,82000,No,A
678,52,Female,77000,No,B
679,56,Male,80500,Yes,D
680,36,Male,88000,Yes,D
681,37,Female,74000,Yes,B
682,36,Male,84000,No,C
683,53,Female,88500,No,B
684,49,Female,72000,Yes,A
685,35,Male,70500,No,C
686,54,Female,74500,Yes,B
687,33,Male,71000,Yes,D
688,43,Male,89000,No,C
689,23,Female,93500,Yes,A
690,29,Female,71000,Yes,B
691,24,Female,74500,No,A
692,29,Female,63000,No,A
693,53,Male,62000,Yes,D
694,37,Male,80500,No,C
695,43,Female,74500,No,A
696,19,Female,50500,No,B
697,32,Female,55000,No,B
698,33,Male,102000,Yes,D
699,42,Female,86000,No,B
700,30,Female,70500,Yes,B
701,20,Male,45500,Yes,D
702,27,Male,91500,No,C
703,36,Male,76000,No,C
704,31,Male,63000,Yes,D
705,44,Male,59000,No,D
706,35,Male,86500,No,C
707,28,Female,65500,Yes,A
708,36,Female,88500,No,B
709,22,Male,88000,Yes,C
710,30,Male,68000,No,C
711,35,Male,39000,No,D
712,41,Male,78500,Yes,C
713,39,Female,92500,Yes,A
714,50,Male,68500,No,C
715,38,Female,89000,Yes,B
716,40,Male,85500,No,D
717,22,Male,58000,No,C
718,51,Male,83500,Yes,D
719,35,Female,51000,No,A
720,44,Male,69000,Yes,D
721,37,Male,71500,Yes,D
722,29,Female,93000,No,A
723,51,Male,104500,Yes,D
724,35,Female,91500,No,B
725,35,Female,49500,No,B
726,51,Male,82500,Yes,D
727,29,Female,58500,Yes,B
728,37,Female,73000,Yes,B
729,46,Female,80500,No,B
730,27,Male,80500,No,C
731,44,Male,79500,Yes,D
732,46,Female,86500,Yes,B
733,44,Female,96500,Yes,A
734,31,Male,64000,No,C
735,55,Male,92500,Yes,C
736,49,Female,73500,Yes,B
737,29,Female,75500,No,A
738,50,Male,95500,Yes,C
739,32,Male,74000,No,C
740,36,Female,83500,No,B
741,37,Female,70000,No,B
742,37,Male,74500,Yes,D
743,21,Female,66500,Yes,B
744,35,Female,80000,No,B
745,54,Male,83500,No,C
746,41,Male,114500,Yes,D
747,23,Female,65000,No,A
748,58,Female,79000,Yes,A
749,44,Male,86000,Yes,C
750,30,Female,75000,No,B
751,48,Male,86000,No,C
752,34,Female,74500,Yes,B
753,36,Male,84000,Yes,D
754,53,Female,65500,No,B
755,42,Male,82500,Yes,D
756,44,Female,83000,No,B
757,48,Female,54500,Yes,B
758,37,Male,75000,Yes,C
759,56,Male,82500,No,C
760,35,Female,60500,Yes,B
761,48,Female,63500,Yes,A
762,32,Male,59500,Yes,D
763,42,Female,69500,No,B
764,22,Female,73500,Yes,B
765,26,Female,70000,No,A
766,43,Male,73500,No,D
767,42,Female,53500,No,A
768,48,Female,90500,Yes,A
769,27,Male,70500,No,D
770,51,Male,70000,No,D
771,41,Male,85000,No,D
772,48,Female,71000,Yes,B
773,29,Female,70000,Yes,B
774,48,Male,70500,Yes,C
775,40,Male,84000,No,C
776,36,Female,82000,Yes,B
777,22,Female,62000,Yes,A
778,40,Male,58500,No,C
779,34,Female,81500,No,B
780,29,Male,63500,No,C
781,44,Male,87500,No,C
782,25,Female,73500,No,B
783,22,Female,46500,No,B
784,41,Male,72500,No,D
785,27,Female,44500,No,A
786,36,Female,94000,Yes,A
787,35,Male,78500,Yes,D
788,50,Female,111000,No,B
789,38,Female,79500,Yes,B
790,37,Female,67500,Yes,B
791,32,Female,66000,No,B
792,56,Female,77500,No,B
793,49,Female,78000,Yes,B
794,56,Male,53500,Yes,D
795,53,Male,97000,Yes,D
796,26,Female,63500,No,B
797,25,Female,89500,No,B
798,52,Female,73000,No,B
799,41,Male,107000,Yes,D
800,53,Female,71500,No,B
801,35,Female,63000,Yes,B
802,44,Male,43000,Yes,D
803,35,Female,60500,No,B
804,52,Male,74000,Yes,D
805,21,Female,51500,No,B
806,47,Male,77500,No,C
807,41,Male,81500,No,C
808,31,Male,55000,No,D
809,31,Male,70500,Yes,C
810,50,Male,77500,No,C
811,41,Female,79000,No,A
812,47,Female,109500,Yes,A
813,46,Male,99500,No,D
814,44,Male,65000,Yes,C
815,23,Male,72500,No,D
816,39,Male,89000,No,C
817,48,Female,41500,No,B
818,24,Female,84500,Yes,A
819,36,Female,49000,No,B
820,25,Female,74500,Yes,B
821,48,Female,72000,No,A
822,44,Female,81000,No,B
823,29,Male,61500,No,C
824,51,Female,88500,No,B
825,45,Male,80500,Yes,C
826,46,Male,81500,No,C
827,42,Female,80000,No,B
828,47,Male,83000,No,C
829,24,Female,78500,Yes,B
830,41,Male,78000,No,C
831,33,Male,66000,Yes,C
832,38,Male,88500,No,D
833,40,Male,80000,Yes,D
834,45,Female,78500,Yes,A
835,44,Male,93000,Yes,C
836,28,Male,69000,No,C
837,31,Female,70000,No,B
838,31,Female,64500,No,B
839,49,Male,71000,Yes,C
840,43,Female,81000,Yes,A
841,26,Female,59500,No,B
842,35,Female,68500,Yes,B
843,36,Female,82500,No,A
844,27,Female,50500,No,A
845,36,Female,64000,Yes,B
846,48,Male,80500,No,C
847,47,Female,85000,Yes,B
848,26,Male,83500,No,C
849,51,Female,67500,No,B
850,41,Female,71500,No,B
851,25,Male,64500,No,C
852,41,Female,73000,Yes,B
853,44,Male,56500,No,D
854,27,Female,88500,No,A
855,18,Female,80000,No,B
856,56,Male,77500,No,D
857,46,Male,105000,No,C
858,45,Female,79000,No,B
859,32,Female,64000,No,A
860,36,Male,63000,No,D
861,50,Male,76000,Yes,D
862,28,Female,60500,Yes,B
863,48,Female,68000,Yes,B
864,46,Female,65000,Yes,B
865,30,Male,82000,Yes,D
866,23,Female,60500,Yes,A
867,27,Female,74000,No,B
868,39,Female,72000,No,B
869,48,Male,68500,Yes,D
870,47,Female,91000,Yes,A
871,36,Female,76500,Yes,B
872,31,Female,71000,No,B
873,48,Female,78000,Yes,A
874,22,Male,51000,No,C
875,55,Male,87500,Yes,C
876,35,Female,71000,Yes,B
877,31,Male,66000,No,C
878,33,Female,69500,No,A
879,45,Female,69000,No,A
880,50,Female,64500,No,A
881,28,Female,68000,Yes,A
882,36,Female,72500,Yes,B
883,55,Male,78500,Yes,D
884,40,Female,75000,No,B
885,43,Male,65500,No,D
886,25,Female,68000,No,B
887,50,Male,68500,Yes,C
888,38,Female,79500,Yes,B
889,48,Male,81000,Yes,D
890,33,Female,83000,Yes,A
891,26,Male,91500,Yes,D
892,49,Male,91500,No,C
893,42,Female,79000,No,B
894,52,Female,83500,No,B
895,47,Male,73000,No,D
896,50,Male,80000,No,C
897,47,Male,77000,No,C
898,48,Male,58500,Yes,D
899,28,Female,44000,No,B
900,47,Female,95000,Yes,A
901,46,Female,77000,No,A
902,36,Female,77500,No,B
903,23,Female,71500,No,B
904,49,Female,77000,No,B
905,50,Male,79500,No,C
906,32,Female,75000,Yes,B
907,30,Female,77000,No,B
908,49,Male,105500,Yes,C
909,29,Female,75000,Yes,A
910,30,Female,74500,No,A
911,43,Male,85000,No,C
912,50,Female,63000,Yes,B
913,28,Female,73000,No,B
914,31,Female,59500,Yes,B
915,37,Female,71500,Yes,B
916,39,Female,79000,No,B
917,35,Male,88000,No,C
918,42,Female,71500,No,B
919,53,Male,101500,Yes,D
920,27,Male,87000,No,D
921,39,Female,77500,No,B
922,37,Female,77000,Yes,B
923,50,Female,96000,Yes,A
924,29,Female,82500,No,A
925,35,Female,80500,Yes,B
926,31,Male,58500,No,D
927,32,Female,66000,Yes,A
928,46,Female,65000,Yes,B
929,35,Male,60500,No,D
930,33,Female,75500,Yes,B
931,46,Female,72000,Yes,B
932,40,Male,82500,No,C
933,48,Female,93000,No,A
934,43,Female,86500,No,B
935,44,Female,74000,Yes,B
936,43,Female,66500,No,A
937,38,Male,71000,No,D
938,25,Male,63500,No,C
939,37,Male,81000,Yes,C
940,44,Female,57500,Yes,A
941,47,Female,89500,Yes,A
